N_ID;Marca;Modelo;Anyo;Color;Kilómetros;Motor;Combustible;Tamaño;N_Ocupantes;Peso;C_Maletero;Potencia;Emisiones;Autonomía;Precio;Valor Estimado (€);Depreciación (%)
16;Renault;Clio;2021;Blanco;18000;1.0 TCe;Gasolina;4.05x1.80x1.44;5;1090;391;100 CV;117.0;700;16000;9331.2;41.68
17;Renault;Megane;2020;Gris;42000;1.5 dCi;Diésel;4.36x1.84x1.45;5;1375;384;115 CV;105.0;800;18000;9447.84;47.51
18;Renault;Captur;2022;Azul;9000;1.0 TCe;Gasolina;4.23x1.80x1.58;5;1215;422;100 CV;125.0;750;21500;13932.0;35.2
19;Renault;Kadjar;2019;Negro;65000;1.5 dCi;Diésel;4.45x1.84x1.61;5;1460;472;110 CV;110.0;850;20000;9972.72;50.14
20;Renault;Zoe;2022;Blanco;15000;Motor Eléctrico;Eléctrico;4.09x1.79x1.56;5;1502;338;136 CV;0.0;395;30000;19440.0;35.2
21;Peugeot;208;2022;Rojo;7000;1.2 PureTech;Gasolina;4.06x1.75x1.43;5;1030;311;100 CV;117.0;700;17000;11016.0;35.2
22;Peugeot;308;2021;Gris;22000;1.5 BlueHDi;Diésel;4.59x1.85x1.44;5;1340;412;130 CV;107.0;800;27000;15746.4;41.68
23;Peugeot;3008;2020;Azul;38000;1.5 BlueHDi;Diésel;4.45x1.84x1.63;5;1430;520;130 CV;110.0;850;29000;15221.52;47.51
24;Peugeot;5008;2021;Negro;30000;2.0 BlueHDi;Diésel;4.64x1.84x1.64;7;1635;702;180 CV;142.0;950;38000;22161.6;41.68
25;Peugeot;e-208;2022;Blanco;5000;Motor Eléctrico;Eléctrico;4.06x1.75x1.43;5;1530;311;136 CV;0.0;340;33000;21384.0;35.2
26;Ford;Fiesta;2020;Rojo;50000;1.0 EcoBoost;Gasolina;4.07x1.74x1.47;5;1056;292;95 CV;116.0;700;14000;7348.32;47.51
27;Ford;Focus;2021;Gris;28000;1.5 EcoBoost;Gasolina;4.38x1.83x1.47;5;1290;375;150 CV;132.0;750;22000;12830.4;41.68
28;Ford;Kuga;2022;Azul;12000;2.5 PHEV;Híbrido Enchufable;4.61x1.88x1.67;5;1822;411;225 CV;26.0;800;40000;25920.0;35.2
29;Ford;Mustang Mach-E;2022;Negro;8000;Motor Eléctrico;Eléctrico;4.71x1.88x1.60;5;2066;402;294 CV;118.5;610;52000;33696.0;35.2
30;Ford;Puma;2021;Blanco;20000;1.0 EcoBoost;Gasolina;4.19x1.81x1.54;5;1295;456;125 CV;123.0;750;24000;13996.8;41.68
31;Hyundai;i20;2022;Rojo;8000;1.0 T-GDi;Gasolina;4.04x1.78x1.48;5;1095;351;100 CV;117.0;700;17000;11016.0;35.2
32;Hyundai;i30;2021;Gris;25000;1.5 T-GDi;Gasolina;4.34x1.80x1.47;5;1275;395;160 CV;131.0;750;24000;13996.8;41.68
33;Hyundai;Tucson;2022;Azul;10000;1.6 CRDi;Diésel;4.50x1.86x1.65;5;1578;540;136 CV;139.0;900;33000;21384.0;35.2
34;Hyundai;Kona;2021;Negro;30000;1.0 T-GDi;Gasolina;4.21x1.80x1.57;5;1265;374;120 CV;140.0;750;23000;13413.6;41.68
35;Hyundai;Ioniq 5;2022;Blanco;5000;Motor Eléctrico;Eléctrico;4.64x1.89x1.60;5;1985;527;218 CV;0.0;507;48000;31104.0;35.2
36;Kia;Picanto;2021;Rojo;15000;1.0 MPI;Gasolina;3.60x1.60x1.49;5;898;255;67 CV;118.5;600;12000;6998.4;41.68
37;Kia;Stonic;2022;Gris;7000;1.0 T-GDi;Gasolina;4.14x1.76x1.51;5;1210;352;120 CV;126.0;700;20000;12960.0;35.2
38;Kia;Sportage;2022;Azul;9000;1.6 T-GDi;Gasolina;4.52x1.87x1.65;5;1530;591;150 CV;143.0;900;31000;20088.0;35.2
39;Kia;Niro;2021;Negro;20000;1.6 GDi Híbrido;Híbrido;4.44x1.80x1.57;5;1493;451;141 CV;97.0;850;28000;16329.6;41.68
40;Kia;EV6;2022;Blanco;4000;Motor Eléctrico;Eléctrico;4.69x1.88x1.55;5;1820;490;229 CV;0.0;528;45000;29160.0;35.2
41;BMW;Serie 1;2021;Negro;22000;1.5 TwinPower;Gasolina;4.36x1.80x1.43;5;1365;380;136 CV;126.0;750;33000;19245.6;41.68
42;BMW;Serie 3;2022;Gris;12000;2.0 TwinPower;Gasolina;4.71x1.83x1.44;5;1490;480;184 CV;148.0;800;45000;29160.0;35.2
43;BMW;X1;2022;Azul;8000;2.0 TwinPower;Diésel;4.50x1.84x1.61;5;1550;540;150 CV;135.0;850;45000;29160.0;35.2
44;BMW;X3;2021;Blanco;25000;2.0 TwinPower;Diésel;4.71x1.89x1.66;5;1830;550;190 CV;148.0;900;58000;33825.6;41.68
45;BMW;i4;2022;Rojo;6000;Motor Eléctrico;Eléctrico;4.78x1.85x1.45;5;2050;470;340 CV;0.0;510;65000;42120.0;35.2
46;Mercedes-Benz;Clase A;2021;Gris;18000;1.3 Turbo;Gasolina;4.42x1.80x1.42;5;1360;370;136 CV;130.0;750;35000;20412.0;41.68
47;Mercedes-Benz;Clase C;2022;Negro;10000;1.5 Turbo;Gasolina;4.75x1.82x1.44;5;1555;455;170 CV;140.0;800;48000;31104.0;35.2
48;Mercedes-Benz;GLA;2021;Blanco;20000;2.0 CDI;Diésel;4.41x1.83x1.61;5;1600;435;150 CV;137.0;850;42000;24494.4;41.68
49;Mercedes-Benz;GLC;2022;Azul;8000;2.0 CDI;Diésel;4.72x1.89x1.64;5;1800;620;170 CV;146.0;900;55000;35640.0;35.2
50;Mercedes-Benz;EQA;2022;Rojo;5000;Motor Eléctrico;Eléctrico;4.46x1.83x1.62;5;1960;340;190 CV;0.0;426;50000;32400.0;35.2
51;Audi;A1;2021;Gris;22000;1.0 TFSI;Gasolina;4.03x1.74x1.43;5;1120;335;95 CV;116.0;700;22000;12830.4;41.68
52;Audi;A3;2022;Negro;10000;1.5 TFSI;Gasolina;4.34x1.82x1.43;5;1255;380;150 CV;130.0;750;35000;22680.0;35.2
53;Audi;Q2;2021;Blanco;25000;1.5 TFSI;Gasolina;4.20x1.79x1.53;5;1270;405;150 CV;128.0;800;33000;19245.6;41.68
54;Audi;Q3;2022;Azul;8000;2.0 TDI;Diésel;4.48x1.85x1.62;5;1495;530;150 CV;137.0;850;40000;25920.0;35.2
55;Audi;e-tron;2022;Rojo;7000;Motor Eléctrico;Eléctrico;4.90x1.93x1.62;5;2490;660;300 CV;0.0;441;72000;46656.0;35.2
56;Skoda;Fabia;2022;Gris;5000;1.0 TSI;Gasolina;4.11x1.78x1.47;5;1110;380;95 CV;116.0;700;16500;10692.0;35.2
57;Skoda;Octavia;2021;Negro;20000;1.5 TSI;Gasolina;4.69x1.83x1.47;5;1310;600;150 CV;132.0;800;25000;14580.0;41.68
58;Skoda;Karoq;2022;Blanco;9000;1.5 TSI;Gasolina;4.38x1.84x1.60;5;1380;521;150 CV;138.0;850;28000;18144.0;35.2
59;Skoda;Kodiaq;2021;Azul;30000;2.0 TDI;Diésel;4.70x1.88x1.68;7;1740;720;190 CV;148.0;950;37000;21578.4;41.68
60;Skoda;Kamiq;2022;Rojo;7000;1.0 TSI;Gasolina;4.24x1.79x1.57;5;1225;400;95 CV;121.0;750;22000;14256.0;35.2
61;Opel;Corsa;2021;Gris;18000;1.2 Turbo;Gasolina;4.05x1.76x1.43;5;1075;309;100 CV;116.0;700;16000;9331.2;41.68
62;Opel;Astra;2022;Negro;8000;1.2 Turbo;Gasolina;4.37x1.86x1.47;5;1355;422;130 CV;132.0;750;26000;16848.0;35.2
63;Opel;Grandland;2021;Blanco;22000;1.5 Turbo D;Diésel;4.48x1.86x1.66;5;1465;514;130 CV;115.0;850;30000;17496.0;41.68
64;Opel;Mokka;2022;Azul;10000;1.2 Turbo;Gasolina;4.15x1.79x1.53;5;1230;350;130 CV;134.0;750;25000;16200.0;35.2
65;Opel;Mokka-e;2022;Rojo;5000;Motor Eléctrico;Eléctrico;4.15x1.79x1.53;5;1535;310;136 CV;0.0;338;34000;22032.0;35.2
66;Citroën;C3;2021;Gris;20000;1.2 PureTech;Gasolina;4.00x1.75x1.47;5;984;300;83 CV;113.0;650;14500;8456.4;41.68
67;Citroën;C4;2022;Negro;8000;1.2 PureTech;Gasolina;4.36x1.80x1.52;5;1200;380;130 CV;127.0;750;24000;15552.0;35.2
68;Citroën;C5 Aircross;2021;Blanco;25000;1.5 BlueHDi;Diésel;4.50x1.86x1.69;5;1435;580;130 CV;110.0;850;29000;16912.8;41.68
69;Citroën;ë-C4;2022;Azul;5000;Motor Eléctrico;Eléctrico;4.36x1.80x1.52;5;1590;380;136 CV;0.0;350;33000;21384.0;35.2
70;Citroën;Berlingo;2021;Gris;30000;1.5 BlueHDi;Diésel;4.40x1.85x1.84;5;1527;775;100 CV;118.5;900;22000;12830.4;41.68
71;Nissan;Micra;2021;Rojo;22000;1.0 IG-T;Gasolina;3.99x1.74x1.48;5;1050;300;92 CV;117.0;650;14000;8164.8;41.68
72;Nissan;Juke;2022;Gris;8000;1.0 DIG-T;Gasolina;4.24x1.80x1.59;5;1225;422;114 CV;127.0;750;23000;14904.0;35.2
73;Nissan;Qashqai;2022;Negro;7000;1.5 e-Power;Híbrido;4.43x1.84x1.63;5;1560;504;190 CV;104.0;850;34000;22032.0;35.2
74;Nissan;Leaf;2021;Blanco;18000;Motor Eléctrico;Eléctrico;4.49x1.79x1.54;5;1598;435;150 CV;0.0;385;30000;17496.0;41.68
75;Nissan;Ariya;2022;Azul;4000;Motor Eléctrico;Eléctrico;4.60x1.85x1.66;5;2060;468;218 CV;0.0;403;47000;30456.0;35.2
76;Mazda;2;2021;Rojo;20000;1.5 SkyActiv-G;Gasolina;4.07x1.69x1.51;5;1005;280;90 CV;115.0;750;16000;9331.2;41.68
77;Mazda;3;2022;Gris;8000;2.0 SkyActiv-X;Gasolina;4.46x1.80x1.44;5;1330;358;186 CV;128.0;750;28000;18144.0;35.2
78;Mazda;CX-5;2021;Negro;25000;2.2 SkyActiv-D;Diésel;4.55x1.84x1.68;5;1620;506;184 CV;146.0;900;36000;20995.2;41.68
79;Mazda;CX-30;2022;Blanco;10000;2.0 e-SkyActiv;Híbrido Suave;4.40x1.80x1.54;5;1445;422;150 CV;138.0;800;29000;18792.0;35.2
80;Mazda;MX-30;2022;Azul;6000;Motor Eléctrico;Eléctrico;4.40x1.80x1.55;5;1650;337;145 CV;0.0;200;32000;20736.0;35.2
81;Honda;Jazz;2021;Rojo;15000;1.5 i-MMD;Híbrido;3.99x1.69x1.53;5;1218;354;109 CV;92.0;750;24000;13996.8;41.68
82;Honda;Civic;2022;Gris;5000;1.5 VTEC Turbo;Gasolina;4.55x1.80x1.41;5;1290;415;182 CV;118.5;800;30000;19440.0;35.2
83;Honda;CR-V;2021;Negro;28000;2.0 i-MMD;Híbrido;4.60x1.86x1.68;5;1695;561;184 CV;101.0;900;40000;23328.0;41.68
84;Honda;HR-V;2022;Blanco;7000;1.5 i-MMD;Híbrido;4.34x1.79x1.59;5;1400;393;131 CV;108.0;850;29000;18792.0;35.2
85;Volvo;XC40;2022;Azul;8000;1.5 T3;Gasolina;4.43x1.86x1.65;5;1585;460;163 CV;157.0;850;42000;27216.0;35.2
86;Volvo;XC60;2021;Negro;20000;2.0 D4;Diésel;4.69x1.90x1.66;5;1840;505;190 CV;158.0;900;53000;30909.6;41.68
87;Volvo;V40;2019;Gris;60000;2.0 T3;Gasolina;4.37x1.82x1.43;5;1360;420;152 CV;140.0;800;20000;9972.72;50.14
88;Volvo;XC40 Recharge;2022;Blanco;5000;Motor Eléctrico;Eléctrico;4.43x1.86x1.65;5;2099;419;231 CV;0.0;418;55000;35640.0;35.2
89;Tesla;Model 3;2022;Rojo;10000;Motor Eléctrico;Eléctrico;4.69x1.85x1.44;5;1752;425;283 CV;0.0;614;47000;30456.0;35.2
90;Tesla;Model Y;2022;Blanco;6000;Motor Eléctrico;Eléctrico;4.75x1.92x1.62;5;1979;854;299 CV;0.0;533;56000;36288.0;35.2
91;Tesla;Model S;2021;Gris;15000;Motor Eléctrico;Eléctrico;4.97x1.96x1.44;5;2162;793;670 CV;0.0;637;99000;57736.8;41.68
92;Fiat;500;2022;Azul;5000;1.0 Híbrido Suave;Híbrido Suave;3.57x1.63x1.51;4;1000;185;70 CV;96.0;500;16000;10368.0;35.2
93;Fiat;Panda;2021;Rojo;18000;1.0 Híbrido Suave;Híbrido Suave;3.68x1.64x1.55;5;1050;225;70 CV;92.0;550;14000;8164.8;41.68
94;Fiat;500e;2022;Verde;4000;Motor Eléctrico;Eléctrico;3.63x1.69x1.53;4;1365;185;118 CV;0.0;320;27000;17496.0;35.2
95;Dacia;Sandero;2022;Gris;5000;1.0 TCe;Gasolina;4.09x1.75x1.49;5;1130;328;90 CV;118.5;650;11500;7452.0;35.2
96;Dacia;Duster;2021;Negro;25000;1.5 dCi;Diésel;4.34x1.80x1.69;5;1347;478;115 CV;119.0;750;18000;10497.6;41.68
97;Dacia;Logan;2020;Blanco;40000;1.0 SCe;Gasolina;4.26x1.73x1.51;5;1030;510;75 CV;118.0;600;9500;4986.36;47.51
98;Dacia;Spring;2022;Azul;8000;Motor Eléctrico;Eléctrico;3.73x1.58x1.51;4;970;290;45 CV;0.0;230;16500;10692.0;35.2
99;CUPRA;Formentor;2022;Gris;10000;2.0 TSI;Gasolina;4.45x1.84x1.52;5;1490;420;310 CV;161.0;850;38000;24624.0;35.2
100;CUPRA;Born;2022;Negro;5000;Motor Eléctrico;Eléctrico;4.32x1.81x1.54;5;1770;385;231 CV;0.0;537;40000;25920.0;35.2
101;CUPRA;Leon;2021;Rojo;15000;2.0 TSI;Gasolina;4.37x1.80x1.46;5;1385;380;300 CV;149.0;800;35000;20412.0;41.68
102;Alfa Romeo;Giulia;2020;Gris;35000;2.0 Turbo;Gasolina;4.64x1.87x1.44;5;1524;480;200 CV;185.0;850;38000;19945.44;47.51
103;Alfa Romeo;Stelvio;2021;Blanco;22000;2.0 Turbo;Gasolina;4.69x1.90x1.67;5;1640;525;200 CV;193.0;900;48000;27993.6;41.68
104;Porsche;Cayenne;2021;Negro;18000;3.0 V6;Gasolina;4.92x1.98x1.70;5;2045;745;340 CV;247.0;950;85000;49572.0;41.68
105;Porsche;Taycan;2022;Azul;6000;Motor Eléctrico;Eléctrico;4.96x1.96x1.38;5;2295;405;476 CV;0.0;484;105000;68040.0;35.2
106;Land Rover;Defender;2022;Gris;8000;2.0 D200;Diésel;4.32x1.99x1.97;5;2101;857;200 CV;239.0;950;60000;38880.0;35.2
107;Land Rover;Range Rover Evoque;2021;Blanco;20000;2.0 D150;Diésel;4.37x1.90x1.65;5;1769;591;150 CV;159.0;900;50000;29160.0;41.68
108;Mini;Cooper;2022;Rojo;6000;1.5 TwinPower;Gasolina;3.84x1.73x1.43;4;1185;211;136 CV;134.0;700;25000;16200.0;35.2
109;Mini;Countryman;2021;Gris;18000;2.0 TwinPower;Gasolina;4.30x1.82x1.56;5;1530;450;192 CV;159.0;800;37000;21578.4;41.68
110;Mitsubishi;Eclipse Cross;2021;Azul;22000;2.4 PHEV;Híbrido Enchufable;4.55x1.86x1.68;5;1880;448;188 CV;39.0;800;38000;22161.6;41.68
111;Subaru;Forester;2021;Negro;28000;2.0 e-Boxer;Híbrido Suave;4.63x1.82x1.73;5;1520;505;150 CV;157.0;900;35000;20412.0;41.68
